balance,age,day,campaign,default,housing,loan,months_since_previous_contact,n_previous_contacts,poutcome,education,job,had_contact,is_single,uknown_contact
5452.0,42,9,6,no,yes,no,No contact,No contact,unknown,primary,blue-collar,False,False,False
45.0,58,22,2,no,no,yes,Around a year,No contact,unknown,primary,blue-collar,True,True,False
43.0,38,20,4,no,yes,yes,No contact,No contact,unknown,secondary,admin.,False,False,True
372.0,28,13,5,no,yes,no,No contact,No contact,unknown,primary,blue-collar,False,False,False
1320.0,42,17,2,no,yes,no,No contact,3,unknown,tertiary,technician,False,False,False
6150.0,41,21,1,no,no,no,Around a year,4,unknown,tertiary,management,True,True,False
438.0,37,28,8,yes,no,no,No contact,No contact,unknown,primary,blue-collar,False,True,False
-32.0,30,12,1,no,no,no,No contact,No contact,unknown,secondary,admin.,False,False,False
86.0,30,13,6,no,no,no,No contact,No contact,unknown,secondary,blue-collar,False,True,False
0.0,41,28,1,no,no,no,0 - 5 months,3,unknown,tertiary,technician,True,False,False
-468.0,37,13,1,no,yes,no,5 - 8 months,No contact,unknown,primary,blue-collar,True,False,True
6174.0,50,18,1,no,no,no,No contact,No contact,unknown,secondary,blue-collar,False,False,True
641.0,33,29,5,no,yes,no,No contact,No contact,unknown,tertiary,admin.,False,True,False
348.0,59,28,1,no,yes,no,No contact,No contact,unknown,unknown,management,False,False,False
-728.0,32,28,1,no,yes,no,No contact,No contact,unknown,tertiary,admin.,False,False,True
2198.0,38,31,1,no,no,no,No contact,No contact,unknown,unknown,technician,False,True,False
524.0,34,20,7,no,yes,no,No contact,4,unknown,secondary,technician,False,False,False
2745.0,40,15,2,no,no,no,No contact,No contact,unknown,secondary,technician,False,True,False
-741.0,38,30,8,no,yes,no,No contact,No contact,failure,secondary,blue-collar,False,False,True
-114.0,34,28,1,no,yes,no,No contact,3,unknown,tertiary,technician,False,False,False
74.0,41,14,2,no,yes,no,Around a year,No contact,unknown,secondary,retired,True,False,False
312.0,59,20,8,no,no,no,No contact,No contact,unknown,primary,blue-collar,False,True,False
32.0,41,19,1,no,no,no,No contact,No contact,unknown,secondary,services,False,False,False
1445.0,35,15,1,no,yes,yes,No contact,1,unknown,tertiary,admin.,False,False,True
-933.0,47,19,3,no,yes,yes,No contact,No contact,unknown,secondary,admin.,False,False,False
13164.900000000001,43,26,4,no,yes,no,No contact,No contact,unknown,primary,management,False,False,False
5605.0,22,11,5,no,no,no,No contact,4,unknown,tertiary,management,False,False,False
1574.0,33,8,1,no,no,no,No contact,No contact,unknown,unknown,retired,False,False,False
176.0,26,14,1,no,no,no,0 - 5 months,No contact,unknown,tertiary,management,True,False,False
571.0,20,4,5,no,no,no,No contact,No contact,unknown,secondary,technician,False,False,True
139.0,45,11,4,no,yes,no,No contact,No contact,other,tertiary,technician,False,False,False
190.0,30,23,3,no,no,no,No contact,No contact,unknown,secondary,technician,False,True,False
495.0,52,2,2,no,yes,no,No contact,No contact,unknown,tertiary,management,False,False,True
23.0,46,20,2,no,no,no,No contact,No contact,unknown,secondary,blue-collar,False,True,True
66.0,50,8,2,no,no,no,No contact,No contact,unknown,tertiary,management,False,False,False
354.0,36,21,13,no,yes,no,No contact,4,unknown,tertiary,admin.,False,False,True
605.0,70,17,2,no,yes,no,No contact,No contact,unknown,secondary,admin.,False,False,False
1285.0,31,6,3,no,yes,yes,No contact,No contact,unknown,tertiary,management,False,False,False
286.0,39,16,1,no,no,no,No contact,No contact,unknown,secondary,retired,False,True,False
132.0,38,3,4,no,yes,no,No contact,No contact,unknown,secondary,unemployed,False,True,False
148.0,49,1,5,yes,yes,no,No contact,No contact,unknown,secondary,blue-collar,False,False,True
561.0,41,7,4,no,no,no,No contact,No contact,unknown,secondary,blue-collar,False,False,False
149.0,40,15,2,no,yes,no,No contact,No contact,unknown,secondary,admin.,False,False,True
454.0,46,28,3,no,no,no,No contact,No contact,unknown,unknown,unemployed,False,False,False
-100.0,36,3,1,no,yes,no,No contact,No contact,unknown,tertiary,self-employed,False,False,False
8118.0,46,12,1,no,yes,no,No contact,No contact,unknown,secondary,technician,False,True,True
1142.0,52,8,2,no,yes,no,No contact,No contact,unknown,unknown,technician,False,False,False
75.0,33,8,3,no,yes,no,No contact,No contact,failure,secondary,retired,False,True,False
536.0,31,9,1,no,no,no,No contact,No contact,unknown,tertiary,management,False,True,True
404.0,59,2,1,no,yes,no,Around a year,No contact,unknown,secondary,blue-collar,True,True,False
96.0,30,6,2,no,yes,no,No contact,4,unknown,unknown,retired,False,False,False
1416.0,40,19,2,no,no,no,No contact,No contact,unknown,tertiary,management,False,False,False
1.0,32,8,2,no,yes,no,No contact,No contact,unknown,secondary,housemaid,False,False,False
351.0,60,6,2,no,no,no,No contact,2,unknown,tertiary,technician,False,False,True
238.0,37,4,2,no,no,no,No contact,No contact,unknown,tertiary,unemployed,False,False,False
55.0,55,20,2,no,yes,no,No contact,No contact,unknown,primary,retired,False,False,False
218.0,32,18,7,no,yes,no,No contact,No contact,unknown,tertiary,self-employed,False,False,False
841.0,39,18,2,no,yes,no,0 - 5 months,No contact,unknown,tertiary,management,True,False,True
570.0,37,7,3,no,no,no,No contact,No contact,unknown,unknown,blue-collar,False,False,True
2066.0,47,28,2,yes,yes,yes,No contact,No contact,failure,primary,blue-collar,False,False,False
8313.0,59,27,6,no,yes,no,No contact,1,unknown,tertiary,management,False,False,True
561.0,30,20,1,no,yes,no,No contact,No contact,unknown,primary,management,False,False,False
715.0,24,22,1,no,no,no,0 - 5 months,1,unknown,secondary,admin.,True,False,True
-141.0,53,12,2,no,yes,no,No contact,No contact,unknown,secondary,technician,False,True,True
1167.0,34,11,6,no,no,no,No contact,No contact,unknown,primary,blue-collar,False,True,False
-115.0,57,11,1,no,yes,no,No contact,No contact,unknown,secondary,blue-collar,False,False,False
8982.0,43,19,2,no,yes,no,No contact,No contact,unknown,primary,housemaid,False,False,True
0.0,31,10,1,no,yes,no,No contact,4,unknown,tertiary,management,False,False,False
327.0,46,27,3,no,no,yes,Around a year,No contact,unknown,primary,blue-collar,True,False,False
848.0,49,3,1,no,no,no,No contact,No contact,unknown,tertiary,management,False,False,False
501.0,34,27,2,no,yes,yes,No contact,No contact,unknown,tertiary,self-employed,False,True,False
307.0,34,22,6,no,no,yes,No contact,No contact,unknown,secondary,blue-collar,False,True,True
414.0,54,8,2,no,no,no,No contact,No contact,unknown,tertiary,management,False,False,False
682.0,33,14,2,no,yes,no,No contact,No contact,unknown,secondary,services,False,False,False
1037.0,54,18,1,no,yes,no,No contact,No contact,unknown,primary,admin.,False,True,False
707.0,35,4,4,no,no,no,No contact,No contact,unknown,secondary,unemployed,False,False,False
2239.0,41,2,1,no,yes,no,No contact,No contact,unknown,primary,blue-collar,False,True,False
1670.0,48,13,1,no,no,no,No contact,No contact,unknown,secondary,unemployed,False,False,True
-157.0,39,19,2,no,no,no,No contact,No contact,unknown,secondary,self-employed,False,True,True
265.0,26,15,1,no,no,no,No contact,1,failure,secondary,technician,False,False,True
3275.0,59,20,3,no,no,yes,0 - 5 months,No contact,unknown,primary,blue-collar,True,False,False
6100.0,53,8,1,no,yes,no,No contact,No contact,unknown,secondary,management,False,False,False
1995.0,31,8,1,no,no,yes,No contact,No contact,unknown,secondary,admin.,False,True,False
1304.0,55,29,2,no,yes,no,No contact,No contact,unknown,primary,blue-collar,False,False,False
106.0,36,29,2,no,no,no,No contact,No contact,unknown,primary,entrepreneur,False,True,True
370.0,44,4,2,no,yes,no,No contact,No contact,unknown,primary,blue-collar,False,True,True
1932.0,38,5,1,no,yes,no,No contact,4,unknown,secondary,services,False,False,False
1852.0,52,12,2,no,yes,no,Around a year,No contact,failure,secondary,admin.,True,False,False
1550.0,62,17,1,no,yes,no,No contact,No contact,unknown,secondary,blue-collar,False,True,True
1759.0,38,12,1,no,no,no,No contact,No contact,success,secondary,technician,False,False,False
70.0,59,14,1,no,yes,no,No contact,No contact,unknown,secondary,entrepreneur,False,True,False
2960.0,46,29,4,no,yes,no,No contact,2,unknown,primary,entrepreneur,False,True,False
3.0,31,8,1,no,yes,no,No contact,No contact,unknown,secondary,services,False,False,False
2228.0,52,28,5,no,no,yes,No contact,No contact,unknown,secondary,technician,False,False,False
946.0,37,13,1,no,yes,yes,No contact,No contact,unknown,tertiary,management,False,False,False
222.0,60,7,2,no,yes,no,No contact,No contact,failure,primary,housemaid,False,False,False
129.0,59,7,1,no,yes,no,No contact,No contact,unknown,primary,unemployed,False,True,True
780.0,43,12,3,no,no,no,No contact,3,unknown,tertiary,retired,False,False,False
-168.0,39,20,1,no,no,no,8 - 11 months,No contact,unknown,secondary,management,True,False,False
0.0,36,30,5,no,no,yes,No contact,No contact,failure,primary,housemaid,False,True,True
783.0,31,28,2,no,no,no,No contact,No contact,unknown,secondary,student,False,False,True
173.0,33,29,1,no,yes,no,Around a year,1,unknown,secondary,services,True,True,False
801.0,31,3,2,no,yes,no,No contact,No contact,unknown,secondary,admin.,False,False,False
61.0,37,19,2,no,yes,no,No contact,No contact,unknown,secondary,blue-collar,False,True,True
145.0,35,5,1,no,yes,no,No contact,No contact,unknown,secondary,technician,False,False,False
2039.0,42,23,3,no,yes,no,No contact,No contact,unknown,tertiary,management,False,True,False
1482.0,51,9,1,no,no,yes,No contact,No contact,unknown,tertiary,retired,False,False,True
550.0,33,20,6,no,yes,no,Around a year,No contact,unknown,tertiary,management,True,True,True
3665.0,41,15,2,no,no,no,No contact,No contact,unknown,tertiary,management,False,True,False
64.0,39,6,2,no,yes,yes,0 - 5 months,No contact,unknown,secondary,admin.,True,False,False
503.0,40,20,28,no,yes,no,8 - 11 months,No contact,failure,secondary,blue-collar,True,False,False
2401.0,28,2,2,no,no,no,5 - 8 months,No contact,failure,secondary,technician,True,False,False
1598.0,36,21,2,no,no,yes,No contact,No contact,failure,tertiary,technician,False,True,False
22.0,30,9,3,no,yes,no,No contact,2,unknown,secondary,services,False,False,False
900.0,54,7,1,no,no,no,8 - 11 months,No contact,unknown,tertiary,management,True,False,False
241.0,32,9,2,no,no,no,No contact,No contact,unknown,secondary,services,False,True,False
11972.0,50,11,1,no,yes,yes,5 - 8 months,No contact,failure,secondary,services,True,False,False
3.0,34,24,1,no,yes,no,No contact,No contact,unknown,secondary,self-employed,False,False,False
-43.0,38,10,2,no,yes,no,No contact,No contact,failure,tertiary,entrepreneur,False,False,True
8.0,31,21,2,no,yes,no,No contact,No contact,unknown,secondary,services,False,False,False
43.0,61,25,2,no,no,no,5 - 8 months,No contact,unknown,secondary,technician,True,False,False
263.0,56,2,1,no,yes,no,No contact,No contact,unknown,secondary,unemployed,False,False,True
1770.0,47,19,1,no,yes,yes,No contact,No contact,other,primary,admin.,False,False,False
-563.0,47,9,3,no,no,no,No contact,No contact,failure,primary,management,False,False,True
301.0,43,3,3,no,yes,yes,No contact,No contact,failure,primary,blue-collar,False,True,False
2173.0,40,21,1,no,yes,no,No contact,No contact,unknown,primary,blue-collar,False,False,False
2918.0,41,20,1,no,no,no,No contact,More than 6,unknown,secondary,admin.,False,True,False
878.0,49,8,6,no,no,no,No contact,No contact,unknown,secondary,blue-collar,False,False,True
160.0,43,8,4,no,yes,no,No contact,No contact,unknown,secondary,blue-collar,False,False,True
0.0,31,29,2,yes,yes,no,5 - 8 months,1,unknown,primary,blue-collar,True,False,False
-79.0,33,2,1,no,yes,no,No contact,No contact,failure,primary,management,False,False,False
2266.0,29,11,3,no,yes,no,Around a year,No contact,unknown,tertiary,management,True,False,False
78.0,38,12,1,no,yes,no,No contact,No contact,unknown,secondary,services,False,False,False
1383.0,36,8,1,no,no,no,No contact,No contact,unknown,secondary,technician,False,True,False
462.0,53,15,1,no,yes,no,No contact,3,unknown,primary,blue-collar,False,True,True
0.0,33,6,1,no,yes,no,Around a year,No contact,unknown,primary,blue-collar,True,False,False
3552.0,48,14,2,no,yes,no,Around a year,No contact,failure,secondary,services,True,True,False
506.0,60,19,1,no,yes,no,No contact,1,failure,secondary,blue-collar,False,False,False
722.0,57,20,8,no,yes,no,Around a year,No contact,unknown,secondary,blue-collar,True,False,True
-403.0,43,8,2,no,yes,no,No contact,No contact,unknown,primary,blue-collar,False,True,False
470.0,32,21,2,no,no,no,No contact,No contact,unknown,tertiary,entrepreneur,False,False,False
172.0,31,28,1,no,yes,no,No contact,No contact,failure,secondary,technician,False,False,False
4736.0,37,19,4,no,yes,no,No contact,No contact,unknown,tertiary,management,False,True,True
2139.0,23,18,2,no,no,yes,5 - 8 months,No contact,unknown,tertiary,management,True,False,False
2959.0,54,17,5,no,no,no,No contact,No contact,unknown,secondary,admin.,False,True,False
935.0,44,1,3,no,no,no,No contact,2,unknown,primary,housemaid,False,True,False
1403.0,48,30,1,no,no,no,No contact,1,unknown,primary,blue-collar,False,False,True
0.0,35,26,2,no,yes,no,Around a year,No contact,unknown,primary,management,True,True,False
28.0,44,13,1,no,no,yes,No contact,No contact,unknown,secondary,blue-collar,False,False,False
260.0,46,21,4,yes,yes,yes,0 - 5 months,No contact,failure,secondary,blue-collar,True,False,False
2054.0,55,2,3,no,no,no,No contact,No contact,unknown,tertiary,management,False,False,False
1547.0,45,29,3,no,no,no,No contact,No contact,unknown,secondary,admin.,False,False,False
95.0,31,20,2,no,yes,no,No contact,No contact,unknown,secondary,entrepreneur,False,False,True
3156.0,50,7,2,no,no,no,No contact,No contact,unknown,secondary,blue-collar,False,False,False
-398.0,32,4,2,no,no,no,No contact,No contact,unknown,primary,services,False,True,False
2017.0,52,9,1,no,yes,no,8 - 11 months,No contact,unknown,tertiary,entrepreneur,True,False,False
154.0,39,13,2,no,yes,no,No contact,1,unknown,secondary,services,False,True,False
751.0,31,21,2,no,yes,no,No contact,No contact,unknown,primary,blue-collar,False,False,True
781.0,33,20,7,no,no,no,No contact,No contact,unknown,secondary,blue-collar,False,False,False
895.0,54,20,4,no,yes,no,No contact,No contact,unknown,secondary,blue-collar,False,False,False
104.0,24,18,16,no,no,no,No contact,No contact,unknown,tertiary,technician,False,True,False
1238.0,49,6,1,no,no,no,No contact,No contact,unknown,secondary,blue-collar,False,False,True
1253.0,34,17,2,no,no,no,No contact,No contact,unknown,secondary,admin.,False,False,False
819.0,49,30,2,no,no,yes,No contact,3,unknown,secondary,blue-collar,False,False,True
2418.0,46,8,4,no,yes,no,No contact,4,unknown,secondary,admin.,False,False,False
2666.0,43,6,2,no,no,no,No contact,No contact,failure,secondary,admin.,False,False,True
3329.0,28,17,2,no,no,no,No contact,No contact,unknown,tertiary,management,False,False,True
244.0,28,6,2,no,no,yes,No contact,More than 6,unknown,primary,blue-collar,False,False,False
49.0,48,14,3,no,yes,no,No contact,No contact,unknown,secondary,admin.,False,False,True
5610.0,57,30,1,no,no,yes,No contact,No contact,unknown,secondary,services,False,True,False
5450.0,30,5,6,no,no,no,5 - 8 months,No contact,failure,tertiary,management,True,True,False
195.0,32,5,1,no,no,no,No contact,No contact,unknown,tertiary,management,False,True,False
31.0,43,30,11,no,no,no,5 - 8 months,No contact,unknown,unknown,blue-collar,True,True,False
190.0,42,8,2,no,no,no,No contact,No contact,failure,secondary,services,False,True,False
52.0,45,17,2,no,yes,yes,No contact,No contact,unknown,secondary,blue-collar,False,False,False
897.0,54,29,3,no,yes,no,No contact,No contact,unknown,primary,blue-collar,False,True,True
206.0,54,30,1,no,no,no,No contact,5,unknown,primary,blue-collar,False,True,False
0.0,44,12,2,no,yes,no,No contact,No contact,unknown,tertiary,management,False,False,True
620.0,31,18,2,no,yes,no,No contact,No contact,unknown,primary,blue-collar,False,False,True
900.0,44,6,3,no,yes,no,No contact,No contact,unknown,secondary,services,False,False,False
271.0,47,8,1,no,yes,no,No contact,No contact,unknown,secondary,technician,False,False,False
24.0,42,12,2,no,yes,yes,No contact,No contact,unknown,unknown,self-employed,False,False,False
417.0,35,27,5,no,no,no,No contact,No contact,unknown,secondary,blue-collar,False,True,False
323.0,60,26,4,no,no,no,No contact,No contact,other,primary,blue-collar,False,False,False
-565.0,57,20,2,no,yes,no,No contact,No contact,unknown,secondary,blue-collar,False,False,False
373.0,32,19,1,no,yes,yes,No contact,No contact,unknown,primary,blue-collar,False,True,False
381.0,34,28,2,no,yes,no,No contact,No contact,unknown,secondary,blue-collar,False,False,False
183.0,35,8,1,no,no,yes,No contact,No contact,success,primary,retired,False,False,False
6809.0,40,19,6,no,no,no,No contact,No contact,failure,secondary,blue-collar,False,False,False
198.0,49,11,1,no,yes,no,0 - 5 months,No contact,unknown,tertiary,management,True,False,False
1059.0,59,29,2,no,yes,no,No contact,No contact,unknown,secondary,services,False,False,False
3810.0,49,12,7,no,no,no,No contact,No contact,unknown,secondary,services,False,True,False
3144.0,37,8,4,no,no,no,No contact,No contact,unknown,secondary,admin.,False,False,False
1327.0,32,18,1,no,yes,yes,No contact,No contact,unknown,tertiary,technician,False,False,False
1732.0,37,5,3,no,no,no,No contact,No contact,unknown,tertiary,management,False,False,False
1508.0,45,26,4,no,yes,no,No contact,No contact,unknown,tertiary,retired,False,False,False
883.0,38,23,6,no,yes,no,No contact,No contact,unknown,secondary,technician,False,True,False
471.0,58,18,2,no,no,no,No contact,No contact,unknown,secondary,services,False,False,False
2857.0,30,9,1,no,no,no,No contact,No contact,unknown,secondary,services,False,True,False
2040.0,47,13,4,no,yes,no,No contact,No contact,unknown,secondary,admin.,False,False,False
0.0,52,2,2,no,yes,no,Around a year,No contact,unknown,secondary,blue-collar,True,False,False
0.0,57,23,2,no,no,no,No contact,No contact,unknown,primary,entrepreneur,False,False,False
1042.0,36,21,4,no,yes,no,No contact,No contact,other,tertiary,management,False,True,True
1413.0,38,20,4,no,yes,no,No contact,2,failure,secondary,technician,False,False,True
0.0,29,18,6,no,yes,no,No contact,More than 6,unknown,tertiary,management,False,False,False
1293.0,49,28,2,no,no,yes,No contact,No contact,unknown,secondary,blue-collar,False,False,True
3237.0,34,14,2,no,yes,no,No contact,No contact,unknown,tertiary,management,False,True,True
1116.0,52,3,1,no,yes,yes,No contact,No contact,unknown,secondary,blue-collar,False,False,False
531.0,39,21,2,no,yes,no,No contact,No contact,unknown,primary,blue-collar,False,False,False
2142.0,58,31,2,no,no,no,No contact,3,unknown,secondary,services,False,False,False
2127.0,30,20,3,no,yes,no,No contact,No contact,unknown,secondary,services,False,False,False
5000.0,55,21,1,no,no,no,No contact,1,unknown,primary,retired,False,False,False
408.0,32,7,4,no,yes,no,No contact,No contact,unknown,secondary,technician,False,True,False
612.0,33,2,2,no,yes,no,No contact,No contact,unknown,tertiary,student,False,False,False
162.0,52,24,2,no,no,no,No contact,No contact,unknown,secondary,admin.,False,False,False
901.0,27,13,1,no,yes,no,No contact,No contact,unknown,secondary,student,False,True,True
255.0,33,4,3,no,yes,no,No contact,No contact,unknown,primary,blue-collar,False,False,False
-219.0,27,22,1,no,yes,yes,Around a year,No contact,unknown,tertiary,management,True,False,False
2362.0,41,19,2,no,yes,no,No contact,No contact,unknown,primary,housemaid,False,False,False
5090.0,35,18,1,no,yes,no,No contact,No contact,unknown,secondary,blue-collar,False,False,False
4782.0,56,17,1,no,no,no,No contact,No contact,unknown,secondary,admin.,False,False,False
6352.0,30,2,2,no,no,yes,No contact,No contact,unknown,tertiary,management,False,False,False
106.0,25,30,1,no,no,no,No contact,No contact,failure,tertiary,admin.,False,False,False
1171.0,48,13,1,no,yes,no,No contact,No contact,unknown,secondary,technician,False,False,True
751.0,53,2,7,no,no,no,No contact,No contact,unknown,tertiary,admin.,False,False,False
26.0,52,4,2,no,yes,no,Around a year,2,unknown,unknown,blue-collar,True,True,True
0.0,39,28,5,no,no,no,No contact,No contact,unknown,secondary,blue-collar,False,False,False
238.0,39,11,3,no,no,no,5 - 8 months,No contact,unknown,tertiary,management,True,False,False
